Nom;Type;image_url;lien_youtube;instructions;Ingredients
Gateau mixte;Sucrerie;https://drive.google.com/file/d/19rXfTaXFTEYmWzWH6qUO7Ro3iNKx_om1/view?usp=drivesdk;https://youtu.be/64OQhqy3GfI?si=1I0CjB0GALfuPUpE;gateau_mixte.txt;Oeuf,sucre,lait,huile,yaourt,farine,poudre à pâte,vanille,Carotte,Pomme,noix de coco
Genoise castella;Sucrerie;https://drive.google.com/file/d/19ttsmxspWEMBqBu_46cJgMxf4ieDT5Du/view?usp=drivesdk;https://youtu.be/bnnV2vvhk3A?si=hifQKR33aNZRJ1Qb;genoise_castella.txt;oeuf,sucre,huile,farine,lait,cafe,sel
Pili pili;Friture;https://drive.google.com/file/d/19wx-BjQmckM6FYG7q02IrC7UCiic15GP/view?usp=drivesdk;https://youtu.be/pf3W3pdxiT4?si=Lur_6ztFYp5P6FFv;pili_pili.txt;viande hâchée,Oignon,poivron,haricot vert,carotte,tomate,condiment vert,épice,farine,sucre,oeuf,beurre,lait liquide,sel,sucre vanille,Huile,Levure chimique
Shawarmar;Repas;https://drive.google.com/file/d/1A6TQFrXKFeNkG_-e1igaiB04CcPiOTa5/view?usp=drivesdk;https://youtu.be/f0W3XZJH5hc?si=JqO6LkACOUgY_MSb;shawarmar.txt;boeuf,Cube,poivre,Yaourt,ail,Cumin,Sel,poivre,Mayonnaise,Moutarde,Oignon rouge,Concombre,Coriandre fraîche,citron,Huile,pomme,tomate,Salade
Corn Chaff;Sauce;https://drive.google.com/file/d/1A9UaniBKBkQemByOskMKH4ob0ruGQxrl/view?usp=drivesdk;https://youtu.be/yKAIs6A1nj0?si=4zu1mXbCDzcOvYjB;corn_chaff.txt;haricots rouge,poisson fume,tomate,oignon,huile de palme,mais,crevette sèchee,sel,sel gemme,gingembre,ail 
Sauté de viande;Repas;https://drive.google.com/file/d/1ABzBfyc24npiLQVxpJa2s3bVupyx11QN/view?usp=drivesdk;https://youtu.be/g7Dho2WBixw?si=c8YP_QTsr319rtbi;saute_de_viande.txt;viande hachee,haricot vert,carotte,tomate,ail,poivre blanc,poireau,Poivron,noix de muscade,thym,Persil,Sel,Huile
Beignet au lait;Friture;https://drive.google.com/file/d/1Aut0BLKAFU9euS0JsgLrJHLMotxzKgkr/view?usp=drivesdk;https://youtu.be/VVoI6zSoqGU?si=sRKskx9qNrTjIu9w;beignet_au_lait.txt;farine,sucre,lait en poudre,sel,oeuf,huile
Creme au Chocolat;Sucrerie;https://drive.google.com/file/d/1AvvhU0P2HXG1Syq-KMSIuaA-wFLFS1Ly/view?usp=drivesdk;;creme_au_chocalat.txt;sucre,maizena,farine,lait,sel,oeuf,copeaux de chocolat
Agneau braisé;Repas;https://drive.google.com/file/d/1DQcDbiTE2vcn-4NlmTpMoe4Vqg1lOlmk/view?usp=drivesdk;https://youtu.be/NDfFSepQe60?si=7B2vndj629iLoHr-;agneau_braise.txt;agneau,oignon,ail,moutarde,Cube,sel,poivre,piment
Bouillon de pattes de boeuf;Sauce;https://drive.google.com/file/d/1E5wxVdhfEfAq0YBMFmZhLjR7DoLOVgVV/view?usp=drivesdk;https://youtu.be/JULKCw8LOFg?si=_MejiK8nFJfalJke;bouillon_de_pattes_de_boeuf.txt;patte de boeuf,njanssan,oignon,sel,gingembre,poivre blanc,poivre noir,ail,peper,rondelle,herbe de Provence,cumin,tomate,anis vert,clou de girofle,piment,feuille de basilic,feuille de Laurier
Poisson bar a la poele;Repas;https://drive.google.com/file/d/1EFTfknvVDBsXE6aNvPKvWlbVIdnQasqT/view?usp=drivesdk;https://youtu.be/jKop9bSDHEc?si=GeHqy67C6Nah13kU;poisson_bar_a_la_poele.txt;Rondelle,moutarde,Peper,Gingembre,Djansan,Poivre blanc,Oignon,Poireau,Ail
Boulette de poisson;Repas;https://drive.google.com/file/d/1EZODWHPG55j15H85LIWntG5-PKTKAeRU/view?usp=drivesdk;;boulette_de_poisson.txt;Poisson,Oignon,Tomate,Poivron,Poivre,Ail
Brochette de mouton;Repas;https://drive.google.com/file/d/1EaCm2O3iJlb4JuLOD87Bd7gVAD3HpSvK/view?usp=drivesdk;https://youtu.be/8yufkDN8omY?si=a2diZvAEP-Ia12tZ;brochette_de_mouton.txt;viande de mouton,Sel,Poivre blanc,oignon,moutarde,persil,oignon,poivron,ail,céleri,Huile,curry,bicarbonate de soude
Coconut;Sucrerie;https://drive.google.com/file/d/1EdL1a-XtOKy0BiLBeNOBcrrZf9vEAjKz/view?usp=drivesdk;https://youtu.be/REabF94A7B0?si=S_OUwQAbj-NYni5h;coconut.txt;noix de coco,sucre,eau,citron,beurre
Poisson au four;Repas;https://drive.google.com/file/d/1ElDCusz3iBLBe1aCTvm7G9clp1bZ0Vql/view?usp=drivesdk;https://youtu.be/DmYc7biaSs4?si=VwzTnbp2xZYYHl8c;poisson_au_four.txt;Poisson,citron,Poivre noir,poivre blanc,Gingembre,Ail,Paprika,Sel,Kankanka,Cube,Huile,Oignon,Poivron,Ail,Oignon,Herbe de provence
Madeleine;Sucrerie;https://drive.google.com/file/d/1Emgj8SRLRyeIogTnTOzsByKnsdrEEEKR/view?usp=drivesdk;https://youtu.be/n16grE1fpNo?si=YvdVtcdLW6ZjiPjX;madeleine.txt;oeuf,sucre,beurre,levure chimique,citron,Beurre,farine
Brownie;Sucrerie;https://drive.google.com/file/d/1F06gSodq8GRTDuVyF4NXxUGzFlIfRIvK/view?usp=drivesdk;https://youtu.be/gOL-ryJCfXc?si=hWfDQYGWhylheI0J;brownie.txt;chocolat,sucre,farine,beurre,sucre brun,oeuf,farine,levure chimique,pépite de chocolat
